Activated dendritic cell,Adipocyte,B cell,B10 Regulatory B cell,Basal gland mucous cell,CD4+ T cell,CD8 T cell,CD8+ T cell,CMP cell,Cancer cell,Cancer stem cell,Central memory T cell,Central memory T cell precursor,Chief cell,Cytotoxic T cell,Cytotoxic cell,Dendritic cell,Diffuse gastric cancer cell,Effector T(Teff) cell,Effector memory T cell,Endocrine cell,Endothelial cell,Enterocyte,Enteroendocrine cell,Eosinophil,Epithelial cell,Exhausted T(Tex) cell,Fibroblast,Gamma delta(¦Ă¦Ä) T cell,Gastric mucous neck cell,Gastric stem cell,Gland mucous cell,Goblet cell,HES1High progenitor cell,Immature dendritic cell,Intestinal gastric cancer cell,Intestinal metaplasia cell,Isthmus cell,Lymph vessel cell,M1 macrophage,M2 macrophage,Macrophage,Mast cell,Metaplastic-stem cell,Monocyte,Mucous pit cell,Multipotent progenitor cell,Myeloid cell,Myeloid dendritic cell,NECK cell,Natural killer CD56 bright cell,Natural killer CD56 dim cell,Natural killer cell,Neck cell,Neutrophil,Paneth cell,Parietal cell,Parietal progenitor cell,Pericyte,Pit cell,Pit mucous cell,Pit progenitor cell,Plasma cell,Proliferative cell,Proliferative cell (PC),Pyloric cell,Regulatory T (Treg) cell,Regulatory T(Treg) cell,Smooth muscle cell,Stem cell,Stem-like cell,T cell,T follicular helper(Tfh) cell,T helper 1(Th1) cell,T helper 17(Th17) cell,T helper 2(Th2) cell,T helper(Th) cell,Zymogenic chief cell
LAMP3,PNPLA2,CD19,CD38,MUC6,CD4,TBCC,IFNG,TPSAB1,NOTCH1,CD44,HNRNPH1,TCF7,PGA3,PRF1,APOL3,CD83,COL1A1,CD82,GDPD5,GHRL,PECAM1,CA1,NEUROG3,ACACB,EPCAM,CXCL13,DCN,CD160,MUC6,LGR5,MUC6,MUC2,ALDH1A3,DCSTAMP,REG4,CDX2,STMN1,VEGFC,CD40,CD163,CD68,TPSB2,REG1A,CD14,TFF1,CENPQ,S100A9,CD4,TFF2,MPPED1,S1PR5,B3GAT1,MUC6,CEACAM8,DEFA5,ATP4B,ANXA1,NDUFA4L2,DCUN1D3,TFF1,FBXO32,CD38,ARID1A,BIRC5,AQP5,CD3D,CCR6,ACTN2,LGR5,EZH2,CD8A,MYO7A,LRP8,IL17RA,LIMA1,SLC25A12,ANPEP
OAS3,FABP4,CD79A,CD27,TFF2,RPL34,ABT1,GZMB,,ARID1A,CD44,KLF12,,PGA4,GZMA,GZMH,CD52,S100A4,NKG7,TBCD,SST,ENG,FABP1,CHGB,TRMO,CDH1,,PDPN,FEZ1,,BHLHA15,TFF2,TFF3,PLXDC1,CD1C,MUC13,CDX1,MKI67,PDPN,BCL2A1,CD163,CD68,TPSAB1,OLFM4,,,GJC2,CD68,CD80,,DUSP4,IL21R,NKG7,,BASP1,,ATP4A,FGD5,RGS5,FAHD2B,GKN1,SMG8,PTPRC,CDKN2A,CDK1,,SIRPG,,ACTA2,CD44,POU5F1,CD3E,SLC7A10,DPP4,RORC,NEIL3,DDX50,
EBI3,LIPE,MS4A1,CD19,,CD2,ARHGAP8,GZMA,,APC,CD24,RPP38,,LIPF,CD8A,RUNX3,CD86,COL1A2,,DDX17,GAST,PECAM1,VIL1,CHGA,ADGRE1,VIL1,,COL3A1,MIR9-1HG,,TNFRSF19,MUC6,SPINK4,,CD1A,CDH17,ENO1,,,CXCL9,CCL23,CD163,MPO,CLDN3,,,ECE1,S100A8,CD86,,TRAPPC9,KIR3DL1,XCL1,,CSF3R,,ATP4A,KERA,MYL9,ADAMTS6,GKN2,ACTC1,XBP1,MKI67,,,CD27,,MYL2,LGR5,,CD3G,ZNF764,SGCB,IL17A,CXCR6,FAM111A,
CCL1,,CD19,CD24,,IL7R,KAT6A,PRF1,,TP53,CD44,TRAF3IP3,,PGA5,,KLRB1,CCL22,,,LTK,GHRL,VWF,FABP1,TPH1,PTGDR2,CLDN7,,COL6A1,,,RUNX1,,ITLN1,,LMAN2L,CEACAM5,PGC,,,IL7R,CCL13,CSF1R,PRG2,,,,ZFP41,CD163,CD40,,MADD,KIR3DL3,PTPRC,,FPR1,,,HBB,TAGLN,GALNT7,,GBP2,SDC1,RBP4,,,CD2,,,LGR5,,CD3D,THADA,HBEGF,IL17A,SLC39A14,CD28,
,,MS4A1,,,LTB,SLC16A7,TNFSF11,,MKI67,CD44,REPS1,,PGC,,CTSW,HSD11B1,,,AKT3,CHGA,MCAM,APOA1,CHGB,ABHD2,YAP1,,COL1A2,,,SOX2,,MUC2,,CTNS,KRT8,TFF3,,,IL2RA,MRC1,CD14,TPSB2,,,,UBE2S,FCGR3A,CD83,,PLA2G6,GTF3C1,NCAM1,,TNFRSF1A,,,FKBP14,ACTA2,MBD1,,PPP1R14A,SLAMF7,,,,IL2RA,,,LGR5,,CD2,ICA1,LTA,,WDHD1,UBE2L3,
,,BLK,,,RPS6,LEPROTL1,CD8A,,BIRC5,ITGA6,SLC7A6,,LIPF,,APBA2,IL3RA,,,TBC1D5,GHRL,MCAM,,CHGA,THBS1,KRT8,,FAP,,,,,HES6,,CD1B,,,,,,CD163,CD68,MAOB,,,,ZNF143,PTPRC,CD209,,RRAD,PMEPA1,IFNG,,NAMPT,,,CFH,,TMEM135,,RPRD1B,IRF4,,,,CD3E,,,LGR5,,CD3D,SH3TC1,IL12RB2,,BIRC5,LRBA,
,,CD79B,,,LDHB,ZNF609,GZMK,,CDK1,CD44,N4BP2L2-IT2,,PGA5,,GZMA,CCL17,,,CCR2,SST,CDH5,,PROX1,IL5RA,CDH1,,SMN1,,,,,MUC2,,PREP,,,,,,CCL18,MARCO,GATA2,,,,KIAA1586,LYZ,CD207,,FOXJ1,GZMB,GZMB,,CFLAR,,,,,SALL4,,ALDH1B1,,,,,CD3G,,,LGR5,,CD3E,PTPN13,BST2,,PMCH,PPP2R5C,
,,CD19,,,CD3D,TMC6,CD3D,,KRAS,CD44,CDC14A,,LIPF,,SIGIRR,CCL13,,,PRKY,HDC,CLDN5,,CHGA,HRH4,EPCAM,,POSTN,,,,,ITLN1,,NUDT9,,,,,,CD163,SIGLEC1,KIT,,,,POMT2,CD14,CCR7,,XCL1,KIR2DL3,FCGR3A,,TECPR2,,,,,RSPO2,,IL17B,,,,,RNF19A,,,LGR5,,PTPRC,MAF,IFNG,,PHEX,FRYL,
,,BANK1,,,RPL9,SRSF7,GZMB,,SMARCB1,CD44,POLR2J2,,PGA3,,KLRD1,NPR1,,,NFATC4,GAST,PECAM1,,GAST,KBTBD11,MUC1,,COL3A1,,,,,,,SLC7A8,,,,,,ARG1,SCARB2,CTSG,,,,KLHL11,ITGAX,LY75,,,,MRC2,,FPR1,,,,,NTN1,,PIPOX,,,,,TNFRSF1B,,,ITGA6,,CD6,TOX,CD38,,CDC7,RPA1,
,,CD79A,,,EIF3E,DNAJB1,PTPRC,,COL3A1,CD44,CASP8,,PGA3,,DUSP2,PPFIBP2,,,MEFV,,ENG,,,LRP5L,TNFRSF19,,PDGFRB,,,,,,,TACSTD2,,,,,,IL10,BCAT1,ELANE,,,,SUPT7L,,NRP1,,,,FZR1,,FCGR3B,,,,,BLOC1S3,,NPB,,,,,TIGIT,,,OLFM4,,CD3E,POMT1,CD70,,EVI5,NUP107,
,,MS4A1,,,GIMAP7,HAUS3,CD8A,,PDGFRB,CD44,AQP3,,PGA4,,RORA,CD209,,,FLI1,,VWF,,,THBS4,TNFRSF19,,COL6A1,,,,,,,MMP12,,,,,,,ANOS1,SLC24A3,,,,TCIM,,PDCD1LG2,,,,MAPRE3,,FPR2,,,,,GREM2,,ADRA1D,,,,,ICA1,,,SOX2,,CD3G,CXCL13,APOD,,ANK1,BORA,
,,PTPRC,,,LEF1,PRF1,CD8B,,CDH17,CD44,KMT2A,,,,KLRF1,S100A1,,,EZR,,ENG,,,CCR3,KRT18,,S100A4,,,,,,,ABCG2,,,,,,,EMP1,HDC,,,,ZFAND1,,,,,,PRX,,CYP4F3,,,,,ZNF747,,NFIX,,,,,,,,LGR5,,CD2,SIRPG,CSF2,,SNRPD1,ATF2,
,,CD19,,,NOSIP,RBM3,CD3E,,EPCAM,LGR5,STX16,,,,NKG7,,,,EWSR1,,PLVAP,,,GALC,CDH1,,LUM,,,,,,,MS4A6A,,,,,,,ATG7,PTGDS,,,,LGSN,,,,,,NCR1,,SIGLEC5,,,,,RBL1,,TMEM47,,,,,,,,CCKBR,,CD3D,MRTFB,DUSP5,,AHI1,SRSF10,
,,CD79A,,,RPL7,VAMP2,IFNG,,CEACAM5,CD44,CREBZF,,,,,,,,SND1-IT1,,ENG,,,CYSLTR2,KRT19,,THY1,,,,,,,CSF1R,,,,,,,MARCO,CPA3,,,,RPE,,,,,,ALDH1B1,,S100A12,,,,,TFF1,,HSPB8,,,,,,,,LGR5,,NCALD,STK39,APBB2,,IL26,ICOS,
,,TCL1A,,,RPS3A,PPP1R2,GZMA,,MUC16,DLL4,TIMM8A,,,,,,,,RUNX3,,FABP5,,,RCOR3,,,SPARC,,,,,,,F13A1,,,,,,,CD163,HPGD,,,,DTX3L,,,,,,FUT5,,KCNJ15,,,,,GKN1,,YBEY,,,,,,,,THY1,,CD28,CHGB,SYNGR3,,PTGIS,ASF1A,
,,MS4A1,,,TCF7,ZEB1,CD8A,,,,USP9Y,,,,,,,,IL7R,,CD320,,,TKTL1,,,POSTN,,,,,,,VASH1,,,,,,,PCOLCE2,ABCC4,,,,SGK1,,,,,,TCTN2,,CXCR2,,,,,GKN2,,SETD1B,,,,,,,,CD44,,SKAP1,LDLRAD4,BTG3,,HELLS,NAP1L4,
,,SPIB,,,RPL30,ZNF22,,,,,CLUAP1,,,,,,,,CXCR3,,PLVAP,,,CLC,,,ITGB1,,,,,,,SYT17,,,,,,,CTSK,CMA1,,,,PWWP2B,,,,,,ZNF528,,BST1,,,,,GKN1,,LRRFIP2,,,,,,,,LINGO2,,LCK,PASK,DOK5,,DHFR,PHF10,
,,CD19,,,CD3G,TMEM259,,,,,CYLD,,,,,,,,,,VWF,,,CD101,,,MGST1,,,,,,,FZD2,,,,,,,SCG5,MLPH,,,,SNX7,,,,,,PSMD4,,ALPL,,,,,,,WFDC1,,,,,,,,CD24,,BCL11B,B3GAT1,LRRN3,,LAIR2,SEC24C,
,,FAM30A,,,CD3E,APBA2,,,,,ATM,,,,,,,,,,RAMP2,,,KCNH2,,,ACTA2,,,,,,,GUCA1A,,,,,,,CLEC5A,PTGS1,,,,MAML2,,,,,,FGF18,,DYSF,,,,,,,VSNL1,,,,,,,,CXCR4,,SH2D1A,TSHR,DGKI,,GSTA4,BATF,
,,SLC15A2,,,CD40LG,ZFP36L2,,,,,CEP68,,,,,,,,,,CLDN5,,,SIAH1,,,COL6A2,,,,,,,RAP1GAP,,,,,,,CCL7,VWA5A,,,,LRRC57,,,,,,MCM3AP,,MME,,,,,,,KCNMB1,,,,,,,,CD44,,CD96,PVALB,ATP9A,,CENPF,ANP32B,
,,DTNB,,,IL7R,GZMM,,,,,NEFL,,,,,,,,,,VWF,,,RRP12,,,COL1A1,,,,,,,CD1E,,,,,,,SULT1C2,SCG2,,,,H2AX,,,,,,LDB3,,FCAR,,,,,,,BCL11A,,,,,,,,,,PRKCQ,CXCR5,ZBTB32,,SMAD2,GOLGA8A,
,,HLA-DOB,,,CD3D,PF4,,,,,TXK,,,,,,,,,,PTPRB,,,TIPARP,,,CXCL14,,,,,,,HS3ST2,,,,,,,SGMS1,ADCYAP1,,,,CDC45,,,,,,CDC5L,,TNFRSF10C,,,,,,,SLC2A4,,,,,,,,,,ITM2A,MAGEH1,CMAHP,,GATA3,ITM2A,
,,FAM30A,,,CD4,MAPKAPK5-AS1,,,,,DOCK9,,,,,,,,,,KDR,,,CAT,,,DCN,,,,,,,CLEC10A,,,,,,,COL8A2,CEACAM8,,,,PTP4A3,,,,,,BCL2,,CXCR1,,,,,,,RASSF3,,,,,,,,,,CD8A,SMAD1,EGFL6,,MB,,
,,OSBPL10,,,PTPRC,THUMPD1,,,,,NFATC3,,,,,,,,,,PLVAP,,,SYNJ1,,,VIM,,,,,,,CH25H,,,,,,,CYBB,TAL1,,,,ZNF354C,,,,,,ADARB1,,SLC25A37,,,,,,,LIMS2,,,,,,,,,,CD4,CDK5R1,,,MICAL2,,
,,SCN3A,,,CD3E,LIME1,,,,,MAP3K1,,,,,,,,,,CD34,,,SMPD3,,,ISLR,,,,,,,FABP4,,,,,,,GPC4,CALB2,,,,SLC25A38,,,,,,ZNF747,,CRISPLD2,,,,,,,CORO1C,,,,,,,,,,NKG7,HEY1,,,CDC25C,,
,,BLK,,,,ZNF91,,,,,PCM1,,,,,,,,,,,,,MYO15B,,,PDPN,,,,,,,,,,,,,,CXCL5,TPSAB1,,,,GPT2,,,,,,TBXA2R,,LILRB2,,,,,,,WIF1,,,,,,,,,,CD3E,ST8SIA1,,,,,
,,GNG7,,,,FLT3LG,,,,,CCR7,,,,,,,,,,,,,TGIF1,,,PDGFRA,,,,,,,,,,,,,,CHIT1,SIGLEC6,,,,MTA1,,,,,,PDLIM4,,MGAM,,,,,,,NRXN3,,,,,,,,,,CD3D,KCNK5,,,,,
,,CR2,,,,GADD45A,,,,,,,,,,,,,,,,,,HES1,,,COL1A2,,,,,,,,,,,,,,CD84,SLC18A2,,,,CASP3,,,,,,TINAGL1,,CD93,,,,,,,HACD1,,,,,,,,,,GZMA,,,,,,
,,BACH2,,,,CDKN2AIP,,,,,,,,,,,,,,,,,,RNASE2,,,CAV1,,,,,,,,,,,,,,PTGDS,TPSAB1,,,,TBC1D15,,,,,,IGFBP5,,G0S2,,,,,,,LAMA5,,,,,,,,,,CD7,,,,,,
,,MEF2C,,,,CAMLG,,,,,,,,,,,,,,,,,,,,,COL1A2,,,,,,,,,,,,,,FN1,CPA3,,,,PPIH,,,,,,XCL1,,CSF3R,,,,,,,CFAP221,,,,,,,,,,KLRB1,,,,,,
,,CD72,,,,SF1,,,,,,,,,,,,,,,,,,,,,COL1A1,,,,,,,,,,,,,,COLEC12,HPGDS,,,,TRAF4,,,,,,NKG7,,CEACAM3,,,,,,,P2RX4,,,,,,,,,,CD2,,,,,,
,,GLDC,,,,KLF9,,,,,,,,,,,,,,,,,,,,,DCN,,,,,,,,,,,,,,DNASE2B,RGS13,,,,PLK4,,,,,,CD3E,,HPSE,,,,,,,TMEM51,,,,,,,,,,CD3D,,,,,,
,,MICAL3,,,,PRR5,,,,,,,,,,,,,,,,,,,,,FAP,,,,,,,,,,,,,,ME1,CLU,,,,PITPNM2,,,,,,,,CD177,,,,,,,SLC24A3,,,,,,,,,,,,,,,,
,,TNFRSF17,,,,CD8A,,,,,,,,,,,,,,,,,,,,,TAGLN,,,,,,,,,,,,,,GM2A,,,,,NUDT8,,,,,,,,,,,,,,,DIXDC1,,,,,,,,,,,,,,,,
,,PNOC,,,,,,,,,,,,,,,,,,,,,,,,,ASPN,,,,,,,,,,,,,,MSR1,,,,,SCARF2,,,,,,,,,,,,,,,SRF,,,,,,,,,,,,,,,,
,,BCL11A,,,,,,,,,,,,,,,,,,,,,,,,,CSPG4,,,,,,,,,,,,,,FDX1,,,,,ANKRD37,,,,,,,,,,,,,,,BARX1,,,,,,,,,,,,,,,,
,,FCRL2,,,,,,,,,,,,,,,,,,,,,,,,,RGS5,,,,,,,,,,,,,,CD14,,,,,PLD1,,,,,,,,,,,,,,,LDB3,,,,,,,,,,,,,,,,
,,ABCB4,,,,,,,,,,,,,,,,,,,,,,,,,ACTA2,,,,,,,,,,,,,,CXCL8,,,,,C2CD2,,,,,,,,,,,,,,,SGCA,,,,,,,,,,,,,,,,
,,QRSL1,,,,,,,,,,,,,,,,,,,,,,,,,PDGFA,,,,,,,,,,,,,,HLA-DRA,,,,,DDX31,,,,,,,,,,,,,,,AK4,,,,,,,,,,,,,,,,
,,BLNK,,,,,,,,,,,,,,,,,,,,,,,,,S100A4,,,,,,,,,,,,,,CSF1R,,,,,DNAL4,,,,,,,,,,,,,,,RSPO3,,,,,,,,,,,,,,,,
,,MS4A1,,,,,,,,,,,,,,,,,,,,,,,,,DCN,,,,,,,,,,,,,,C1QB,,,,,,,,,,,,,,,,,,,,MVB12B,,,,,,,,,,,,,,,,
,,CD79A,,,,,,,,,,,,,,,,,,,,,,,,,LUM,,,,,,,,,,,,,,C1QA,,,,,,,,,,,,,,,,,,,,CFL2,,,,,,,,,,,,,,,,
,,CD79A,,,,,,,,,,,,,,,,,,,,,,,,,PDPN,,,,,,,,,,,,,,CD68,,,,,,,,,,,,,,,,,,,,CNN1,,,,,,,,,,,,,,,,
,,JCHAIN,,,,,,,,,,,,,,,,,,,,,,,,,CXCL14,,,,,,,,,,,,,,SPP1,,,,,,,,,,,,,,,,,,,,TNFAIP8,,,,,,,,,,,,,,,,
,,MZB1,,,,,,,,,,,,,,,,,,,,,,,,,COL1A2,,,,,,,,,,,,,,CD14,,,,,,,,,,,,,,,,,,,,LRP5,,,,,,,,,,,,,,,,
,,CD19,,,,,,,,,,,,,,,,,,,,,,,,,COL1A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHX35,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,DCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAPS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,FN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SBSPON,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,IL6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMPER,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,SFRP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIMM17A,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,PDGFRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MICALL1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,CXCL12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OLR1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,MYL9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCL2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,MMP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,CXCL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,CAV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
